"search-number","evaluation","evals-requested-so-far","grid-size-x*","grid-size-y*","speed-limit*","num-cars*","ticks-per-cycle*","current-auto?*","power?*","random-seed","min-result","max-result","mean-result","stdev-result","final-step-result"
"1","279","500","5","5","1.4000000000000001","200","20","true","false","""-2046534606""","29","200","147.22355289421156","20.633126863170702","183"
"1","280","500","5","5","1.4000000000000001","200","20","true","false","""847639786""","49","200","148.55888223552896","29.009912546371172","200"
"1","281","500","5","5","3.0000000000000004","200","20","true","true","""-1141466801""","61","200","132.16367265469063","15.238541849029737","154"
"1","282","500","5","5","3.0000000000000004","200","20","true","true","""-351761443""","52","200","133.50499001996008","18.8433138022456","137"
"1","283","500","5","5","3.0000000000000004","200","20","true","true","""-738306862""","75","200","130.00199600798402","13.303307709287337","129"
"1","284","500","5","5","3.0000000000000004","200","20","true","true","""1759249273""","57","200","128.07784431137725","16.503209631575086","154"
"1","285","500","5","5","3.0000000000000004","200","20","true","true","""943582957""","86","200","131.00199600798402","10.855505331765254","161"
"1","286","500","5","5","3.0000000000000004","200","20","true","true","""898741812""","60","200","148.7804391217565","17.158778995219517","152"
"1","287","500","5","5","3.0000000000000004","200","20","true","true","""1076821997""","64","200","124.187624750499","13.32549160619999","126"
"1","288","500","5","5","3.0000000000000004","200","20","true","true","""-1032359174""","75","200","128.9241516966068","16.36857463339256","135"
"1","289","500","5","5","3.0000000000000004","200","20","true","true","""388649636""","69","200","136.58283433133732","12.42624741225198","142"
"1","290","500","5","5","3.0000000000000004","200","20","true","true","""1539562275""","55","200","128.22754491017963","11.787286361180819","147"
"1","291","500","5","5","3.8000000000000003","200","20","true","true","""1620964445""","74","200","137.20159680638722","16.24503854858799","132"
"1","292","500","5","5","3.8000000000000003","200","20","true","true","""1042991214""","61","200","133.80239520958085","17.847321206598405","126"
"1","293","500","5","5","3.8000000000000003","200","20","true","true","""-1194407327""","64","200","136.91616766467067","13.609296751993917","127"
"1","294","500","5","5","3.8000000000000003","200","20","true","true","""-1880930716""","66","200","128.32934131736528","15.383280448762203","146"
"1","295","500","5","5","3.8000000000000003","200","20","true","true","""-872538299""","61","200","130.23952095808383","20.265007154453702","192"
"1","296","500","5","5","3.8000000000000003","200","20","true","true","""-248655245""","72","200","129.6546906187625","14.862117041461216","114"
"1","297","500","5","5","3.8000000000000003","200","20","true","true","""1791035378""","70","200","134.82834331337327","17.790179174193277","147"
"1","298","500","5","5","3.8000000000000003","200","20","true","true","""-1211532555""","65","200","141.07984031936127","16.200667047206764","147"
"1","299","500","5","5","3.8000000000000003","200","20","true","true","""-1316362693""","68","200","133.48502994011977","15.684332164587104","144"
"1","300","500","5","5","3.8000000000000003","200","20","true","true","""783183752""","65","200","137.70259481037925","14.944610174022376","130"
"1","301","500","5","5","3.2","200","20","true","false","""-1541327202""","37","200","173.13373253493015","29.93787032907189","200"
"1","302","500","5","5","3.2","200","20","true","false","""669972362""","49","200","174.2574850299401","33.199089880029284","200"
"1","303","500","5","5","3.2","200","20","true","false","""-1746149888""","34","200","175.9680638722555","32.407822790862056","200"
"1","304","500","5","5","3.2","200","20","true","false","""1471220960""","45","200","159.85828343313372","32.38255512228","200"
"1","305","500","5","5","3.2","200","20","true","false","""-2095395426""","29","200","163.48303393213573","35.10587146869934","200"
"1","306","500","5","5","3.2","200","20","true","false","""-1425650702""","60","200","171.0439121756487","35.066537722795935","200"
"1","307","500","5","5","3.2","200","20","true","false","""483479950""","57","200","177.48502994011977","34.79526225578864","200"
"1","308","500","5","5","3.2","200","20","true","false","""2048110069""","60","200","142.31736526946108","21.459475246247546","180"
"1","309","500","5","5","3.2","200","20","true","false","""1445603242""","38","200","176.88423153692614","37.815163239873414","200"
"1","310","500","5","5","3.2","200","20","true","false","""170575594""","43","200","152.33932135728543","34.00736141982402","200"
"1","311","500","5","5","3.0000000000000004","200","20","true","false","""-1234988556""","51","200","186.65069860279442","28.65867660083053","200"
"1","312","500","5","5","3.0000000000000004","200","20","true","false","""492489859""","45","200","176.313373253493","30.918790416159716","200"
"1","313","500","5","5","3.0000000000000004","200","20","true","false","""220416539""","55","200","160.4550898203593","37.03091247919661","200"
"1","314","500","5","5","3.0000000000000004","200","20","true","false","""1108432327""","56","200","155.74051896207584","35.209892571976646","200"
"1","315","500","5","5","3.0000000000000004","200","20","true","false","""-1973944990""","57","200","164.91816367265469","34.5813141656179","200"
"1","316","500","5","5","3.0000000000000004","200","20","true","false","""2008053568""","59","200","142.11776447105788","23.764597698938946","125"
"1","317","500","5","5","3.0000000000000004","200","20","true","false","""237418572""","58","200","145.89820359281438","20.340885348638732","148"
"1","318","500","5","5","3.0000000000000004","200","20","true","false","""1886239831""","58","200","152.68263473053892","34.84045174569793","200"
"1","319","500","5","5","3.0000000000000004","200","20","true","false","""-1005237303""","54","200","160.04590818363275","30.439840476315787","200"
"1","320","500","5","5","3.0000000000000004","200","20","true","false","""-1449624773""","43","200","172.30538922155688","29.257145296460628","200"
