"search-number","evaluation","evals-requested-so-far","speed-limit*","num-cars*","power?*","random-seed","min-result","max-result","mean-result","stdev-result","final-step-result"
"1","1","500","0.6","100","true","""-1936889353""","10","100","41.600798403193615","12.321214199959254","49"
"1","2","500","0.6","100","true","""-792650360""","8","100","41.02395209580838","13.3425419298461","46"
"1","3","500","0.6","100","true","""76558632""","6","100","41.37924151696607","12.88052360052003","47"
"1","4","500","0.6","100","true","""1739346675""","9","100","40.880239520958085","13.193999724970277","49"
"1","5","500","0.6","100","true","""-1555172006""","5","100","41.33932135728543","15.170122963856432","58"
"1","6","500","0.6","100","true","""856071884""","12","100","41.84231536926148","12.150929422408122","48"
"1","7","500","0.6","100","true","""-1218239935""","4","100","40.81037924151697","13.709047087813495","46"
"1","8","500","0.6","100","true","""1869183804""","11","100","41.54091816367266","12.604634955257126","46"
"1","9","500","0.6","100","true","""-663789079""","10","100","42.20758483033932","13.880519527571389","58"
"1","10","500","0.6","100","true","""-1747773603""","11","100","41.796407185628745","14.782370143717385","40"
"1","11","500","0.30000000000000004","100","false","""-1219630986""","2","100","8.778443113772456","4.87614749277112","7"
"1","12","500","0.30000000000000004","100","false","""662984736""","2","100","10.55688622754491","4.987510148864877","12"
"1","13","500","0.30000000000000004","100","false","""378661727""","3","100","11.616766467065869","5.11163753833869","8"
"1","14","500","0.30000000000000004","100","false","""-1063774817""","2","100","9.7125748502994","5.042342863876496","7"
"1","15","500","0.30000000000000004","100","false","""-562882831""","1","100","10.924151696606787","5.089423889689488","4"
"1","16","500","0.30000000000000004","100","false","""-1399904575""","3","100","10.317365269461078","4.953895219351267","9"
"1","17","500","0.30000000000000004","100","false","""-107569206""","4","100","11.04191616766467","5.01918713747137","9"
"1","18","500","0.30000000000000004","100","false","""204075669""","3","100","11.596806387225548","4.845318336336555","8"
"1","19","500","0.30000000000000004","100","false","""1676973965""","3","100","10.373253493013973","5.281893902154114","7"
"1","20","500","0.30000000000000004","100","false","""-145170209""","3","100","11.489021956087825","5.103957213919119","12"
"1","21","500","0.8","100","false","""-972900359""","6","100","23.46706586826347","6.434703813980329","21"
"1","22","500","0.8","100","false","""-1286979521""","6","100","22.666666666666668","6.7476415632920705","19"
"1","23","500","0.8","100","false","""178720685""","6","100","20.936127744510976","6.0653039639946105","23"
"1","24","500","0.8","100","false","""682350488""","3","100","19.20758483033932","5.6310587241911225","19"
"1","25","500","0.8","100","false","""663619042""","6","100","18.7624750499002","5.263598489804883","18"
"1","26","500","0.8","100","false","""-1703429182""","6","100","24.54690618762475","8.352023432030224","20"
"1","27","500","0.8","100","false","""-1611213985""","4","100","23.75249500998004","6.988463261867734","25"
"1","28","500","0.8","100","false","""-1875949424""","6","100","23.487025948103792","6.777191995017198","35"
"1","29","500","0.8","100","false","""94081009""","2","100","21.00998003992016","6.297451881483557","22"
"1","30","500","0.8","100","false","""117457784""","4","100","19.840319361277444","5.989194528298813","17"
"1","31","500","0.9","100","false","""-829703689""","4","100","24.423153692614772","7.661369514279502","27"
"1","32","500","0.9","100","false","""1882756502""","3","100","22.890219560878243","6.63249004158292","22"
"1","33","500","0.9","100","false","""-1838900394""","7","100","23.37125748502994","6.3766677987463645","26"
"1","34","500","0.9","100","false","""-1497895190""","9","100","28.239520958083833","8.043041400493955","28"
"1","35","500","0.9","100","false","""-754224019""","6","100","25.12574850299401","6.365387316465743","24"
"1","36","500","0.9","100","false","""-1501733081""","3","100","22.65868263473054","6.19493901996443","22"
"1","37","500","0.9","100","false","""-663756405""","6","100","22.327345309381236","5.66927074133198","24"
"1","38","500","0.9","100","false","""-307802401""","6","100","29.12375249500998","7.470786751783163","30"
"1","39","500","0.9","100","false","""1605119764""","3","100","23.063872255489024","6.483510790894749","18"
"1","40","500","0.9","100","false","""-1028924841""","4","100","27.347305389221557","6.845081279616108","35"
"1","41","500","0.1","100","true","""1756164796""","14","100","23.339321357285428","6.040913071591335","14"
"1","42","500","0.1","100","true","""-605752051""","16","100","23.21556886227545","5.2445626248285615","20"
"1","43","500","0.1","100","true","""-2115249828""","6","100","23.15369261477046","5.427552978767261","25"
"1","44","500","0.1","100","true","""990149852""","9","100","23.291417165668662","5.2010485661667","17"
"1","45","500","0.1","100","true","""-1859635194""","10","100","22.29940119760479","5.263286011677343","21"
"1","46","500","0.1","100","true","""896034426""","8","100","22.530938123752495","5.515209961385306","24"
"1","47","500","0.1","100","true","""-208591820""","9","100","22.01197604790419","5.18419292536699","25"
"1","48","500","0.1","100","true","""-1678922454""","11","100","23.171656686626747","5.038896213447949","21"
"1","49","500","0.1","100","true","""458277977""","5","100","22.778443113772454","6.235768947873048","21"
"1","50","500","0.1","100","true","""-1337758045""","13","100","23.209580838323355","5.736374118199757","20"
"1","51","500","0.8","100","true","""1505440080""","12","100","47.00998003992016","8.402255661404292","55"
"1","52","500","0.8","100","true","""-225235664""","11","100","46.734530938123754","8.027414604313167","46"
"1","53","500","0.8","100","true","""-1834571110""","11","100","46.63273453093812","7.793128146475286","47"
"1","54","500","0.8","100","true","""-1456415751""","16","100","46.85429141716567","8.10239017493644","54"
"1","55","500","0.8","100","true","""-934250333""","12","100","46.734530938123754","7.332624716262312","49"
"1","56","500","0.8","100","true","""-1421278510""","14","100","47.075848303393215","7.839020061776985","54"
"1","57","500","0.8","100","true","""1992027239""","15","100","46.75848303393214","7.352792183532148","47"
"1","58","500","0.8","100","true","""-955806057""","6","100","46.684630738522955","7.616846021377404","49"
"1","59","500","0.8","100","true","""1009080664""","14","100","46.79441117764471","7.2257628457205145","51"
"1","60","500","0.8","100","true","""1061276388""","10","100","46.65469061876247","7.567729048670534","48"
"1","61","500","0.4","100","true","""-1778734170""","7","100","44.343313373253494","7.069787846859391","53"
"1","62","500","0.4","100","true","""-1955585305""","20","100","44.6686626746507","5.698946920965668","51"
"1","63","500","0.4","100","true","""-902052376""","13","100","44.13572854291417","6.586162837203744","48"
"1","64","500","0.4","100","true","""2056494767""","13","100","44.35329341317365","7.094852650459814","46"
"1","65","500","0.4","100","true","""184388582""","10","100","44.053892215568865","7.140524477960937","47"
"1","66","500","0.4","100","true","""-1715355127""","11","100","44.516966067864274","6.444704149675638","52"
"1","67","500","0.4","100","true","""1032018954""","24","100","44.54890219560878","5.720148930964565","51"
"1","68","500","0.4","100","true","""-1878251121""","17","100","44.343313373253494","6.333237734334694","52"
"1","69","500","0.4","100","true","""-439217586""","16","100","44.06586826347306","6.341423554266859","49"
"1","70","500","0.4","100","true","""-321523753""","14","100","44.51297405189621","6.265966113643228","52"
"1","71","500","0.9","100","true","""-786657266""","9","100","48.265469061876246","5.124781481150264","51"
"1","72","500","0.9","100","true","""-757344859""","4","100","48.03193612774451","7.675348724580043","44"
"1","73","500","0.9","100","true","""233772793""","10","100","48.18562874251497","4.911158015569514","50"
"1","74","500","0.9","100","true","""-1665843575""","15","100","48.590818363273456","10.22889219460945","60"
"1","75","500","0.9","100","true","""-1414490273""","11","100","47.93812375249501","8.256038013033496","43"
"1","76","500","0.9","100","true","""-1857460792""","16","100","47.90419161676647","9.588472370258437","41"
"1","77","500","0.9","100","true","""1799196168""","21","100","49.22355289421158","7.094640523077723","61"
