"search-number","evaluation","speed-limit*","num-cars*","power?*","num-replicates","best-fitness-so-far"
"1","10","0.6","100","true","10","41.442115768463076"
"1","60","0.8","100","true","10","46.79341317365269"
"1","80","0.9","100","true","10","48.26506986027944"
